Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,SquareAbsent,frameRate,session,participant,fill
542,2022.10295,1.01506599,61,1.815596066,109,1.849006099,111,2.899810232,174,2.933187634,176,45,3.933927863,nope,0,0,0.059805098,1,1,left,59.93921547,2,912,2
543,2026.056095,1.09833498,66,1.732157693,104,1.765511631,106,2.816345827,169,2.84976136,171,45,3.333625905,left,0,1,0.059805098,1,-1,right,59.93921547,2,912,2
544,2029.408713,1.131768843,68,1.899013175,114,1.932332649,116,2.282660088,137,2.316108617,139,3,3.316791285,nope,0,0,0.059805098,-1,-1,right,59.93921547,2,912,2
545,2032.744755,1.198389828,72,1.882206051,113,1.915644315,115,2.766228395,166,2.799629995,168,33,3.417028349,right,0,1,0.059805098,1,1,left,59.93921547,2,912,2
546,2036.180643,1.215210516,73,1.698990737,102,1.732311678,104,2.582961752,155,2.616334022,157,33,3.617094416,nope,0,0,0.059805098,1,1,left,59.93921547,2,912,2
547,2039.816882,1.165175576,70,1.598719943,96,1.632156373,98,2.115902497,127,2.14916441,129,11,3.150008029,nope,0,1,0,1,1,left,59.93921547,2,912,2
548,2042.986131,1.198282038,72,1.915524426,115,1.94882007,117,2.499263437,150,2.532619208,152,15,2.9832948,left,0,1,0.059805098,-1,-1,right,59.93921547,2,912,2
549,2045.988386,1.014945368,61,1.548671071,93,1.582070471,95,2.132464343,128,2.165883908,130,15,3.166643569,nope,0,0,0.059805098,1,1,left,59.93921547,2,912,2
550,2049.174369,1.098211791,66,1.531865781,92,1.565231084,94,2.115615057,127,2.149116748,129,15,2.599569061,right,0,1,0.059805098,1,1,left,59.93921547,2,912,2
551,2051.792915,0.998360057,60,1.698946008,102,1.732200589,104,2.782974291,167,2.816444085,169,45,3.817168182,nope,0,0,0.059805098,-1,1,right,59.93921547,2,912,2
552,2055.629338,0.998241635,60,1.581983946,95,1.615386279,97,2.616159505,157,2.64948228,159,42,3.283525705,right,0,1,0.059805098,1,1,left,59.93921547,2,912,2
553,2058.931915,1.165073653,70,1.865573078,112,1.898976145,114,2.349245876,141,2.382613012,143,9,2.916649618,right,0,1,0.059805098,1,1,left,59.93921547,2,912,2
554,2064.867911,1.200353873,72,1.850868587,111,1.884200894,113,2.534822297,152,2.568168536,154,21,3.051988719,down,0,0,0.080205098,-1,-1,right,59.93921547,2,912,2
555,2067.938891,1.06503457,64,1.682160882,101,1.715615644,103,2.666361263,160,2.699695769,162,39,3.700430499,nope,0,0,0.080205098,-1,-1,right,59.93921547,2,912,2
556,2071.658527,1.048374466,63,1.632112377,98,1.665496379,100,1.96575808,118,1.999055557,120,0,2.999831349,nope,0,0,0.080205098,-1,-1,right,59.93921547,2,912,2
557,2074.677835,1.198195513,72,1.848718293,111,1.882036668,113,2.632608063,158,2.666100588,160,27,3.016455157,right,0,1,0.080205098,-1,1,left,59.93921547,2,912,2
558,2077.713188,1.181884075,71,1.982554571,119,2.015950672,121,2.766338385,166,2.799702222,168,27,3.300355559,right,0,1,0.080205098,1,1,left,59.93921547,2,912,2
559,2081.032618,1.165119482,70,1.615372714,97,1.648760749,99,2.599570528,156,2.632817776,158,39,3.633619233,nope,0,0,0.080205098,-1,-1,right,59.93921547,2,912,2
560,2084.685436,0.998273532,60,1.648818676,99,1.68218728,101,2.215901983,133,2.249309816,135,14,3.25003428,nope,0,1,0,1,1,left,59.93921547,2,912,2
561,2087.954768,1.064967109,64,1.598677047,96,1.631972324,98,2.532742763,152,2.56603804,154,36,3.083307486,left,0,1,0.080205098,-1,-1,right,59.93921547,2,912,2
