Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,frameRate,participant
231,1227.612155,1.116857767,67,1.600630312,96,1.633920407,98,2.151031076,129,2.184354535,131,1,2.951856949,l,0,1,0.158077765,-1,1,59.94404568,322
232,1230.564701,1.216664626,73,1.666997857,100,1.700357979,102,2.250708881,135,2.284152595,137,3,2.768152084,a,0,1,0.158077765,-1,-1,59.94404568,322
233,1233.333519,0.999800186,60,1.433533098,86,1.466892854,88,2.667758616,160,2.701148435,162,42,3.118410449,a,0,1,0.158077765,-1,-1,59.94404568,322
234,1236.452631,1.066599989,64,1.516889591,91,1.550246779,93,2.784546356,167,2.817915277,169,44,3.735608816,l,0,1,0.158077765,-1,1,59.94404568,322
235,1240.188899,1.200015545,72,1.917185022,115,1.950561642,117,2.584434754,155,2.617820173,157,8,3.118420715,a,0,1,0.158077765,1,-1,59.94404568,322
236,1243.307992,0.999842715,60,1.50020898,90,1.533664792,92,2.634450189,158,2.667868605,160,36,3.085215311,l,0,1,0.158077765,-1,1,59.94404568,322
237,1246.393867,1.033059118,62,1.817063227,109,1.850345623,111,2.484193071,149,2.517700212,151,8,2.984917167,a,0,1,0.158077765,-1,-1,59.94404568,322
238,1249.379458,1.21662613,73,2.017310483,121,2.050639808,123,2.734537887,164,2.767868679,166,11,3.518716146,l,0,1,0.158077765,-1,1,59.94404568,322
239,1252.898841,1.199956884,72,2.017361445,121,2.0507245,123,2.88471838,173,2.918053571,175,20,3.585496517,l,0,1,0.156749515,-1,1,59.94404568,322
240,1256.485011,1.216750417,73,1.933865266,116,1.967219888,118,2.868004405,172,2.901371493,174,24,3.702216064,l,0,1,0.156749515,1,1,59.94404568,322
241,1260.187894,1.116712948,67,1.717114482,103,1.750512,105,2.884630022,173,2.918084734,175,38,3.918864558,nope,0,0,0.156749515,-1,-1,59.94404568,322
242,1264.107439,1.116855934,67,1.533758283,92,1.567182565,94,2.417822226,145,2.451271806,147,21,3.451898745,nope,1,1,0,-1,-1,59.94404568,322
243,1267.560025,1.200263388,72,1.650727506,99,1.684014302,101,2.81826541,169,2.851631031,171,38,3.352020393,l,0,1,0.156749515,-1,1,59.94404568,322
244,1270.912723,1.016753204,61,1.817473854,109,1.850729119,111,3.035002629,182,3.068349185,184,41,3.519035115,l,0,1,0.156749515,1,1,59.94404568,322
245,1274.432419,1.066585323,64,1.76713615,106,1.800489672,108,2.834554092,170,2.867975075,172,32,3.385311589,a,0,1,0.156749515,-1,-1,59.94404568,322
246,1277.818397,1.216631996,73,2.017269054,121,2.050651173,123,2.751276059,165,2.784523259,167,12,3.268505883,a,0,1,0.156749515,-1,-1,59.94404568,322
247,1281.087572,1.216722187,73,1.8005465,108,1.833831829,110,3.034904738,182,3.068197033,184,42,3.45192111,l,0,1,0.156749515,1,1,59.94404568,322
248,1284.540178,1.183412293,71,1.70054936,102,1.733781161,104,2.334362711,140,2.367744831,142,6,3.001753229,a,0,1,0.156749515,-1,-1,59.94404568,322
249,1287.54267,1.049794723,63,1.516811132,91,1.550234314,93,2.734381702,164,2.76779022,166,41,3.251794842,l,0,1,0.156749515,-1,1,59.94404568,322
250,1290.795203,1.200099137,72,1.617044382,97,1.650403037,99,2.684452426,161,2.71781658,163,32,3.168510576,a,0,1,0.156749515,1,-1,59.94404568,322
251,1293.964389,1.049886014,63,1.566929223,94,1.600249749,96,2.167470444,130,2.200760173,132,4,3.201514699,nope,0,0,0.156749515,1,1,59.94404568,322
252,1297.166608,1.116935859,67,1.917468794,115,1.950929006,117,2.968290818,178,3.001676604,180,31,4.002453128,nope,1,1,0,1,1,59.94404568,322
253,1301.169761,1.050189218,63,1.65064868,99,1.683975805,101,2.668018191,160,2.701395911,162,29,3.168752553,l,0,1,0.156749515,-1,1,59.94404568,322
254,1304.339202,1.133167347,68,1.60038027,96,1.633670732,98,2.801167206,168,2.834571691,170,40,3.168464381,l,0,1,0.156749515,1,1,59.94404568,322
255,1307.508449,1.166535902,70,1.800321389,108,1.833697276,110,3.101319578,186,3.134699498,188,46,3.618786246,l,0,1,0.156749515,1,1,59.94404568,322
256,1311.127902,1.066457736,64,1.483457242,89,1.516861727,91,2.367554183,142,2.40082338,144,21,2.951509383,a,0,1,0.156749515,1,-1,59.94404568,322
257,1314.08007,1.049974739,63,1.850534071,111,1.883958354,113,3.134953207,188,3.168362091,190,45,3.485479946,l,0,1,0.155710015,1,1,59.94404568,322
258,1317.566215,1.066593023,64,1.850574401,111,1.883896393,113,2.734487659,164,2.76784998,166,21,3.18512776,l,0,1,0.155710015,1,1,59.94404568,322
259,1320.752012,1.049974739,63,1.617061247,97,1.650444833,99,2.784730772,167,2.817915277,169,38,3.185155624,l,0,1,0.155710015,1,1,59.94404568,322
