Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,date,frameRate,participant
206,1254.848629,1.116257916,67,1.76678097,106,1.800007993,108,3.351283336,201,3.384694408,203,63,3.751629583,l,0,1,0.125170249,1,1,NA,59.96027619,223
207,1258.618329,1.116173591,67,1.766655949,106,1.799917068,108,3.33461483,200,3.36797714,202,62,3.734845588,l,0,1,0.118911736,1,1,NA,59.96027619,223
208,1262.37131,1.132811666,68,1.749962512,105,1.783184035,107,3.351159415,201,3.38453529,203,64,3.718114021,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
209,1266.107526,1.132783436,68,1.883427148,113,1.916713565,115,2.78408888,167,2.817537714,169,22,3.201098866,l,0,1,0.131428761,-1,1,NA,59.96027619,223
210,1269.326778,1.182759257,71,1.783283759,107,1.81652398,109,3.434552906,206,3.467929148,208,67,3.801569473,a,0,0,0.125170249,1,1,NA,59.96027619,223
211,1273.146325,0.999411924,60,1.466443193,88,1.499724477,90,2.483908388,149,2.517352089,151,29,2.884211738,a,1,0,0.131428761,1,-1,NA,59.96027619,223
212,1276.048773,1.14940758,69,1.849888489,111,1.883178939,113,2.383752533,143,2.417073413,145,0,2.917466258,a,0,1,0.125170249,1,-1,NA,59.96027619,223
213,1278.984354,1.199497789,72,1.749917783,105,1.783144806,107,2.500427308,150,2.53379475,152,13,3.534568342,nope,0,0,0.118911736,1,-1,NA,59.96027619,223
214,1282.520221,1.066298594,64,1.750145461,105,1.783446909,107,2.767655751,166,2.801008528,168,29,3.801705127,nope,0,0,0.125170249,-1,1,NA,59.96027619,223
215,1286.323227,1.082859677,65,1.599934226,96,1.633174448,98,3.234566032,194,3.267919542,196,66,4.268627873,nope,0,1,0,1,1,NA,59.96027619,223
216,1290.593215,1.199735366,72,1.650054133,99,1.683358148,101,3.167920605,190,3.201265683,192,59,3.568207091,l,0,1,0.125170249,-1,1,NA,59.96027619,223
217,1294.179559,1.132778303,68,1.900003263,114,1.933341741,116,2.850791501,171,2.884142078,173,25,3.334508508,l,0,1,0.125170249,1,1,NA,59.96027619,223
218,1297.532121,1.149426278,69,1.816690064,109,1.84994935,111,3.534712794,212,3.568023042,214,71,4.402093976,a,0,1,0.118911736,1,-1,NA,59.96027619,223
219,1301.952328,0.999272604,60,1.649863485,99,1.683053111,101,2.450451121,147,2.483756969,149,16,2.867400979,a,0,1,0.118911736,1,-1,NA,59.96027619,223
220,1304.837869,1.132760338,68,1.549850616,93,1.583045375,95,3.10098664,186,3.134393312,188,61,4.135140872,nope,0,0,0.118911736,1,1,NA,59.96027619,223
221,1349.906083,1.066318758,64,1.616779082,97,1.650126359,99,2.767706346,166,2.801113751,168,37,3.801794951,nope,0,0,0.112653224,-1,-1,NA,59.96027619,223
222,1353.709275,1.13297775,68,1.883583333,113,1.916940876,115,2.800937768,168,2.834278813,170,23,3.201214721,l,0,1,0.125170249,1,1,NA,59.96027619,223
223,1356.92861,1.116162225,67,1.533099985,92,1.56637577,94,2.734071997,164,2.767451904,166,40,3.084415292,l,0,1,0.118911736,-1,1,NA,59.96027619,223
224,1360.030824,1.116369738,67,1.666744637,100,1.700092648,102,3.45162104,207,3.484911123,209,75,3.801827948,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
225,1363.850686,1.166292398,70,1.750003575,105,1.783275693,107,3.167812816,190,3.201106565,192,53,3.518047955,l,0,1,0.125170249,1,1,NA,59.96027619,223
226,1367.386845,1.082725123,65,1.599857601,96,1.633057859,98,2.900846514,174,2.93417436,176,46,3.201066236,l,0,1,0.137687274,1,1,NA,59.96027619,223
227,1370.605934,1.082881308,65,1.633268672,98,1.66651146,100,2.767430273,166,2.80078525,168,36,3.234523136,l,0,1,0.125170249,-1,1,NA,59.96027619,223
228,1373.858547,1.082767652,65,1.78333692,107,1.816537912,109,3.234458242,194,3.26777069,196,55,3.61805789,l,0,1,0.131428761,1,1,NA,59.96027619,223
229,1377.494746,1.182824884,71,2.000127954,120,2.033367442,122,2.984234873,179,3.017597915,181,27,3.384549222,l,0,1,0.131428761,1,1,NA,59.96027619,223
230,1380.897336,1.06616294,64,1.516538902,91,1.549719362,93,2.350441919,141,2.38378553,143,18,2.734120025,a,0,1,0.118911736,1,-1,NA,59.96027619,223
231,1383.649548,1.116126296,67,1.83335637,110,1.866589625,112,2.36704993,142,2.400428372,144,0,2.967576632,l,0,1,0.125170249,1,1,NA,59.96027619,223
232,1386.635165,1.032710806,62,1.850063372,111,1.883390485,113,3.117708674,187,3.151127078,189,44,3.551410264,a,0,1,0.131428761,1,-1,NA,59.96027619,223
